datetime_local,datetime_UTC,level_cm,Q_Ls,asdn_perm,rainfall_mm,temp_c,NO3_mgL,NO3_uM,grabNO3_mgL,grabNO3_uM,seasonalPeriod
3/20/2022 11:00,2022-03-20T16:00:00Z,36.511992,6.430571088,3084,0,NA,0.022795755,0.367644416,NA,NA,wet
3/20/2022 11:15,2022-03-20T16:15:00Z,36.618672,6.60338833,3084,0,10.513,NA,NA,NA,NA,wet
3/20/2022 11:30,2022-03-20T16:30:00Z,36.74364,6.811079161,3084,0,NA,0.022604825,0.36456514,NA,NA,wet
3/20/2022 11:45,2022-03-20T16:45:00Z,36.89604,7.072215537,3084,0,11.263,NA,NA,NA,NA,wet
3/20/2022 12:00,2022-03-20T17:00:00Z,36.917376,7.109476762,3084,0,11.638,0.022726629,0.366529561,NA,NA,wet
3/20/2022 12:00,2022-03-20T17:00:00Z,36.917376,7.109476762,3084,0,11.638,0.022778607,0.367367847,NA,NA,wet
3/20/2022 12:15,2022-03-20T17:15:00Z,37.06368,7.369724175,3084,0,12.075,0.023397133,0.377343284,NA,NA,wet
3/20/2022 12:30,2022-03-20T17:30:00Z,37.20084,7.621371036,3084,0,NA,0.023110255,0.372716593,NA,NA,wet
3/20/2022 12:45,2022-03-20T17:45:00Z,37.283136,7.776003432,3084,0,12.95,NA,NA,NA,NA,wet
3/20/2022 13:00,2022-03-20T18:00:00Z,37.380672,7.962882643,3084,0,13.388,0.023200633,0.374174182,NA,NA,wet
3/20/2022 13:15,2022-03-20T18:15:00Z,37.392864,7.986521341,3084,0,13.825,0.023952,0.386292051,NA,NA,wet
3/20/2022 13:30,2022-03-20T18:30:00Z,37.45992,8.117654057,3084,0,14.138,0.02369016,0.382069159,NA,NA,wet
3/20/2022 13:45,2022-03-20T18:45:00Z,37.499544,8.196039098,3084,0,14.45,0.024139032,0.389308452,NA,NA,wet
3/20/2022 14:00,2022-03-20T19:00:00Z,37.5666,8.330226329,3084,0,14.7,0.023690044,0.38206729,NA,NA,wet
3/20/2022 14:15,2022-03-20T19:15:00Z,37.572696,8.342521577,3084,0,15.013,0.023815055,0.384083434,NA,NA,wet
3/20/2022 14:30,2022-03-20T19:30:00Z,37.603176,8.404240417,3084,0,15.2,0.024018922,0.387371359,NA,NA,wet
3/20/2022 14:45,2022-03-20T19:45:00Z,37.560504,8.31794721,3084,0,15.388,0.024420031,0.393840336,NA,NA,wet
3/20/2022 15:00,2022-03-20T20:00:00Z,37.621464,8.44146647,3084,0,15.575,0.02454354,0.395832268,NA,NA,wet
3/20/2022 15:15,2022-03-20T20:15:00Z,37.557456,8.311813694,3084,0,15.638,0.024491159,0.394987471,NA,NA,wet
3/20/2022 15:30,2022-03-20T20:30:00Z,37.590984,8.379504287,3084,0,15.7,0.024869662,0.401091886,NA,NA,wet
3/20/2022 15:45,2022-03-20T20:45:00Z,37.594032,8.385682237,3084,0,15.7,0.025059139,0.404147716,NA,NA,wet
3/20/2022 16:00,2022-03-20T21:00:00Z,37.563552,8.324084754,3084,0,15.763,0.02450611,0.395228601,NA,NA,wet
3/20/2022 16:15,2022-03-20T21:15:00Z,37.53612,8.268991665,3084,0,15.7,0.024704877,0.39843427,NA,NA,wet
3/20/2022 16:30,2022-03-20T21:30:00Z,37.548312,8.293437289,3084,0,15.638,0.02479733,0.399925328,NA,NA,wet
NA,2022-03-20T21:45:00Z,37.530024,8.256792918,3084,0,NA,0.025090881,0.404659652,NA,NA,wet
3/20/2022 17:00,2022-03-20T22:00:00Z,37.472112,8.141701162,3084,0,15.45,NA,NA,NA,NA,wet
NA,2022-03-20T22:15:00Z,37.517832,8.232443462,3084,0,NA,0.025338371,0.408651111,NA,NA,wet
3/20/2022 17:30,2022-03-20T22:30:00Z,37.453824,8.105654225,3084,0,15.2,NA,NA,NA,NA,wet
3/20/2022 17:45,2022-03-20T22:45:00Z,37.377624,7.956982707,3084,0,15.075,0.02547444,0.410845601,NA,NA,wet
3/20/2022 18:00,2022-03-20T23:00:00Z,37.386768,7.974694197,3084,0,14.888,0.025353571,0.408896245,NA,NA,wet
3/20/2022 18:15,2022-03-20T23:15:00Z,37.365432,7.933421849,3084,0,14.7,0.024562718,0.39614157,NA,NA,wet
3/20/2022 18:30,2022-03-20T23:30:00Z,37.334952,7.874791119,3084,0,14.575,0.024830208,0.400455575,NA,NA,wet
NA,2022-03-20T23:45:00Z,37.30752,7.82235351,3084,0,NA,0.02474037,0.399006694,NA,NA,wet
3/20/2022 19:00,2022-03-21T00:00:00Z,37.258752,7.729897938,3084,0,14.2,NA,NA,NA,NA,wet
3/20/2022 19:15,2022-03-21T00:15:00Z,37.234368,7.684035898,3084,0,14.013,0.024264405,0.391330441,NA,NA,wet
3/20/2022 19:30,2022-03-21T00:30:00Z,37.15512,7.536652022,3084,0,13.825,0.025118499,0.405105066,NA,NA,wet
3/20/2022 19:45,2022-03-21T00:45:00Z,37.112448,7.458338196,3084,0,13.575,0.025086426,0.404587793,NA,NA,wet
3/20/2022 20:00,2022-03-21T01:00:00Z,37.051488,7.347717612,3084,0,13.325,0.024786227,0.399746263,NA,NA,wet
3/20/2022 20:15,2022-03-21T01:15:00Z,37.008816,7.271154459,3084,0,13.138,0.02490672,0.401689544,NA,NA,wet
3/20/2022 20:30,2022-03-21T01:30:00Z,37.005768,7.265712931,3084,0,12.95,0.024842239,0.400649605,NA,NA,wet
3/20/2022 20:45,2022-03-21T01:45:00Z,36.920424,7.114814032,3084,0,12.763,0.024969124,0.402695976,NA,NA,wet
3/20/2022 21:00,2022-03-21T02:00:00Z,36.801552,6.909282185,3084,0,12.575,0.024470945,0.39466147,NA,NA,wet
NA,2022-03-21T02:15:00Z,36.783264,6.878135447,3084,0,NA,0.024832122,0.400486439,NA,NA,wet
3/20/2022 21:30,2022-03-21T02:30:00Z,36.731448,6.790563843,3084,0,12.263,NA,NA,NA,NA,wet
3/20/2022 21:45,2022-03-21T02:45:00Z,36.710112,6.754794335,3084,0,12.075,0.024221715,0.390641943,NA,NA,wet
3/20/2022 22:00,2022-03-21T03:00:00Z,36.661344,6.673664402,3084,0,11.95,0.024682609,0.398075144,NA,NA,wet
3/20/2022 22:15,2022-03-21T03:15:00Z,36.569904,6.523879911,3084,0,11.825,0.024551979,0.395968362,NA,NA,wet
3/20/2022 22:30,2022-03-21T03:30:00Z,36.54552,6.484446131,3084,0,11.7,0.024660605,0.397720262,NA,NA,wet
3/20/2022 22:45,2022-03-21T03:45:00Z,36.4998,6.411079159,3084,0,11.513,0.024575971,0.396355312,NA,NA,wet
3/20/2022 23:00,2022-03-21T04:00:00Z,36.43884,6.314406035,3084,0,11.388,0.024516704,0.395399462,NA,NA,wet
3/20/2022 23:15,2022-03-21T04:15:00Z,36.365688,6.20011231,3084,0,11.263,0.024874455,0.401169174,NA,NA,wet
